Subtotal Area	NICK JOSEFOWITZ	JOHN DENNIS	SCHUYLER HUDAK	CATHERINE STEFANI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts	0	0	0	0	50,394	0	0	0	0	0	0	0
All Precincts - None	0	0	0	0	50,394	0	0	0	0	0	0	0
All Precincts - None	0	0	0	0	50,394	0	0	0	0	0	0	0
Precinct 7201 - None	0	0	0	0	936	0	0	0	0	0	0	0
Precinct 7201 - None	0	0	0	0	936	0	0	0	0	0	0	0
Precinct 7202 - None	0	0	0	0	850	0	0	0	0	0	0	0
Precinct 7202 - None	0	0	0	0	850	0	0	0	0	0	0	0
Precinct 7203 - None	0	0	0	0	921	0	0	0	0	0	0	0
Precinct 7203 - None	0	0	0	0	921	0	0	0	0	0	0	0
Precinct 7204 - None	0	0	0	0	918	0	0	0	0	0	0	0
Precinct 7204 - None	0	0	0	0	918	0	0	0	0	0	0	0
Precinct 7205 - None	0	0	0	0	875	0	0	0	0	0	0	0
Precinct 7205 - None	0	0	0	0	875	0	0	0	0	0	0	0
Precinct 7206 - None	0	0	0	0	378	0	0	0	0	0	0	0
Precinct 7206 - None	0	0	0	0	378	0	0	0	0	0	0	0
Precinct 7207 - None	0	0	0	0	812	0	0	0	0	0	0	0
Precinct 7207 - None	0	0	0	0	812	0	0	0	0	0	0	0
Precinct 7208 - None	0	0	0	0	600	0	0	0	0	0	0	0
Precinct 7208 - None	0	0	0	0	600	0	0	0	0	0	0	0
Precinct 7209 - None	0	0	0	0	626	0	0	0	0	0	0	0
Precinct 7209 - None	0	0	0	0	626	0	0	0	0	0	0	0
Precinct 9201 - None	0	0	0	0	1,004	0	0	0	0	0	0	0
Precinct 9201 - None	0	0	0	0	1,004	0	0	0	0	0	0	0
Precinct 9202 - None	0	0	0	0	971	0	0	0	0	0	0	0
Precinct 9202 - None	0	0	0	0	971	0	0	0	0	0	0	0
Precinct 9203 - None	0	0	0	0	1,002	0	0	0	0	0	0	0
Precinct 9203 - None	0	0	0	0	1,002	0	0	0	0	0	0	0
Precinct 9204 - None	0	0	0	0	873	0	0	0	0	0	0	0
Precinct 9204 - None	0	0	0	0	873	0	0	0	0	0	0	0
Precinct 9205 - None	0	0	0	0	728	0	0	0	0	0	0	0
Precinct 9205 - None	0	0	0	0	728	0	0	0	0	0	0	0
Precinct 9206 - None	0	0	0	0	931	0	0	0	0	0	0	0
Precinct 9206 - None	0	0	0	0	931	0	0	0	0	0	0	0
Precinct 9207 - None	0	0	0	0	981	0	0	0	0	0	0	0
Precinct 9207 - None	0	0	0	0	981	0	0	0	0	0	0	0
Precinct 9208 - None	0	0	0	0	1,002	0	0	0	0	0	0	0
